timestamp,crowd_count,density_level
2026-03-02 14:22:14,5,Low
2026-03-02 14:22:15,5,Low
2026-03-02 14:22:16,4,Low
2026-03-02 14:22:17,2,Low
2026-03-02 14:22:18,2,Low
2026-03-02 14:22:19,3,Low
2026-03-02 14:22:20,3,Low
2026-03-02 14:22:21,3,Low
2026-03-02 14:22:22,3,Low
2026-03-02 14:22:23,3,Low
2026-03-02 14:22:24,3,Low
2026-03-02 14:22:25,3,Low
2026-03-02 14:22:26,4,Low
2026-03-02 14:22:27,6,Low
2026-03-02 14:22:28,6,Low
2026-03-02 14:22:29,5,Low
2026-03-02 14:22:30,5,Low
2026-03-02 14:22:31,5,Low
2026-03-02 14:22:32,5,Low
2026-03-02 14:22:34,3,Low
2026-03-02 14:22:35,3,Low
2026-03-02 14:22:36,3,Low
2026-03-02 14:22:37,3,Low
2026-03-02 14:22:38,3,Low
2026-03-02 14:22:39,3,Low
2026-03-02 14:22:40,3,Low
2026-03-02 14:22:41,4,Low
2026-03-02 14:22:42,5,Low
2026-03-02 14:22:43,5,Low
2026-03-02 14:22:44,5,Low
2026-03-02 14:22:45,5,Low
2026-03-02 14:22:46,4,Low
2026-03-02 14:22:47,3,Low
2026-03-02 14:22:48,3,Low
2026-03-02 14:22:49,3,Low
2026-03-02 14:22:50,3,Low
2026-03-02 14:22:51,5,Low
2026-03-02 14:22:52,5,Low
2026-03-02 14:22:53,6,Low
2026-03-02 14:22:54,6,Low
2026-03-02 14:22:56,6,Low
2026-03-02 14:22:57,5,Low
2026-03-02 14:22:58,5,Low
2026-03-02 14:22:59,5,Low
2026-03-02 14:23:00,5,Low
2026-03-02 14:23:01,5,Low
2026-03-02 14:23:02,6,Low
2026-03-02 14:23:03,6,Low
2026-03-02 14:23:04,6,Low
2026-03-02 14:23:05,5,Low
2026-03-02 14:23:06,5,Low
2026-03-02 14:23:07,4,Low
2026-03-02 14:23:08,4,Low
2026-03-02 14:23:09,3,Low
2026-03-02 14:23:10,2,Low
2026-03-02 14:23:12,3,Low
2026-03-02 14:23:13,3,Low
2026-03-02 14:23:14,3,Low
2026-03-02 14:23:15,4,Low
2026-03-02 14:23:16,5,Low
2026-03-02 14:23:17,5,Low
2026-03-02 14:23:18,5,Low
2026-03-02 14:23:19,4,Low
2026-03-02 14:23:20,4,Low
2026-03-02 14:23:21,4,Low
2026-03-02 14:23:22,4,Low
2026-03-02 14:23:23,4,Low
2026-03-02 14:23:24,4,Low
2026-03-02 14:23:25,5,Low
2026-03-02 14:23:26,5,Low
2026-03-02 14:23:27,5,Low
2026-03-02 14:23:28,5,Low
2026-03-02 14:23:29,5,Low
2026-03-02 14:23:30,5,Low
2026-03-02 14:23:31,5,Low
2026-03-02 14:23:32,4,Low
2026-03-02 14:23:34,5,Low
2026-03-02 14:23:35,5,Low
2026-03-02 14:23:36,4,Low
2026-03-02 14:23:37,4,Low
2026-03-02 14:23:38,4,Low
2026-03-02 14:23:39,4,Low
2026-03-02 14:23:40,4,Low
2026-03-02 14:23:41,4,Low
2026-03-02 14:23:42,4,Low
2026-03-02 14:23:43,4,Low
2026-03-02 14:23:44,4,Low
2026-03-02 14:23:45,4,Low
2026-03-02 14:23:46,4,Low
2026-03-02 14:23:48,4,Low
2026-03-02 14:23:49,4,Low
2026-03-02 14:23:50,4,Low
2026-03-02 14:23:51,4,Low
2026-03-02 14:23:52,4,Low
2026-03-02 14:23:53,4,Low
2026-03-02 14:23:54,4,Low
2026-03-02 14:23:55,4,Low
2026-03-02 14:23:56,4,Low
2026-03-02 14:23:57,4,Low
2026-03-02 14:23:58,4,Low
2026-03-02 14:23:59,4,Low
2026-03-02 14:24:00,4,Low
2026-03-02 14:24:02,4,Low
2026-03-02 14:24:03,4,Low
2026-03-02 14:24:04,4,Low
2026-03-02 14:24:05,4,Low
2026-03-02 14:24:06,4,Low
2026-03-02 14:24:07,4,Low
2026-03-02 14:24:08,4,Low
2026-03-02 14:24:09,4,Low
2026-03-02 14:24:10,5,Low
2026-03-02 14:24:11,5,Low
2026-03-02 14:24:12,5,Low
2026-03-02 14:24:13,5,Low
2026-03-02 14:24:14,4,Low
2026-03-02 14:24:15,4,Low
2026-03-02 14:24:17,5,Low
2026-03-02 14:24:18,5,Low
2026-03-02 14:24:19,5,Low
2026-03-02 14:24:20,4,Low
2026-03-02 14:24:21,4,Low
2026-03-02 14:24:22,4,Low
2026-03-02 14:24:23,4,Low
2026-03-02 14:24:24,4,Low
2026-03-02 14:24:25,4,Low
2026-03-02 14:24:26,4,Low
2026-03-02 14:24:27,4,Low
2026-03-02 14:24:28,3,Low
2026-03-02 14:24:30,3,Low
2026-03-02 14:24:31,4,Low
2026-03-02 14:24:32,4,Low
2026-03-02 14:24:33,4,Low
2026-03-02 14:24:34,4,Low
2026-03-02 14:24:35,4,Low
2026-03-02 14:24:36,4,Low
2026-03-02 14:24:38,4,Low
2026-03-02 14:24:39,4,Low
2026-03-02 14:24:40,4,Low
2026-03-02 14:24:41,4,Low
2026-03-02 14:24:42,4,Low
2026-03-02 14:24:43,4,Low
2026-03-02 14:24:45,4,Low
2026-03-02 14:24:46,4,Low
2026-03-02 14:24:47,4,Low
2026-03-02 14:24:48,4,Low
2026-03-02 14:24:49,4,Low
2026-03-02 14:24:50,4,Low
2026-03-02 14:24:51,4,Low
2026-03-02 14:24:53,4,Low
2026-03-02 14:24:54,4,Low
2026-03-02 14:24:55,4,Low
2026-03-02 14:24:56,4,Low
2026-03-02 14:24:57,4,Low
2026-03-02 14:24:58,4,Low
2026-03-02 14:24:59,4,Low
2026-03-02 14:25:00,4,Low
2026-03-02 14:25:01,4,Low
2026-03-02 14:25:03,4,Low
2026-03-02 14:25:04,4,Low
2026-03-02 14:25:05,4,Low
2026-03-02 14:25:06,4,Low
2026-03-02 14:25:07,4,Low
2026-03-02 14:25:08,4,Low
